*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 341758612
40000
1
root: 36694
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1140.59
Iter 40000, Residual:11.6763
Iter 80000, Residual:7.34951
Iter 120000, Residual:6.12548
Iter 160000, Residual:4.69183
Iter 200000, Residual:3.89894
Iter 240000, Residual:3.35837
Iter 280000, Residual:3.21814
Iter 320000, Residual:3.03794
Iter 360000, Residual:2.89552
Iter 400000, Residual:2.53384
Iter 440000, Residual:2.33812
Iter 480000, Residual:2.26293
Iter 520000, Residual:2.28398
Iter 560000, Residual:2.11765
Iter 600000, Residual:2.02243
Iter 640000, Residual:1.91691
Iter 680000, Residual:1.84755
Iter 720000, Residual:1.73109
Iter 760000, Residual:1.66731
Iter 800000, Residual:1.67708
Iter 840000, Residual:1.58901
Iter 880000, Residual:1.56609
Iter 920000, Residual:1.53902
Iter 960000, Residual:1.50336
Iter 1000000, Residual:1.63511
Iter 1040000, Residual:1.41266
Iter 1080000, Residual:1.444
Iter 1120000, Residual:1.44891
Iter 1160000, Residual:1.28928
Iter 1200000, Residual:1.27314
Iter 1240000, Residual:1.17228
Iter 1280000, Residual:1.35891
Iter 1320000, Residual:1.15943
Iter 1360000, Residual:1.19534
Iter 1400000, Residual:1.13195
Iter 1440000, Residual:1.15894
Iter 1480000, Residual:1.05525
Iter 1520000, Residual:1.13233
Iter 1560000, Residual:1.05724
Iter 1600000, Residual:0.998247
Iter 1640000, Residual:1.03417
Iter 1680000, Residual:1.01532
Iter 1720000, Residual:1.0114
Iter 1760000, Residual:0.911935
Iter 1800000, Residual:0.936
Iter 1840000, Residual:1.00144
Iter 1880000, Residual:0.905051
Iter 1920000, Residual:0.87334
Iter 1960000, Residual:0.798365
Iter 2000000, Residual:0.787163
Iter 2040000, Residual:0.827984
Iter 2080000, Residual:0.78769
Iter 2120000, Residual:0.774998
Iter 2160000, Residual:0.769474
Iter 2200000, Residual:0.825303
Iter 2240000, Residual:0.774868
Iter 2280000, Residual:0.76269
Iter 2320000, Residual:0.818225
Iter 2360000, Residual:0.689099
Iter 2400000, Residual:0.784968
Iter 2440000, Residual:0.699796
Iter 2480000, Residual:0.662638
Iter 2520000, Residual:0.695045
Iter 2560000, Residual:0.699739
Iter 2600000, Residual:0.647979
Iter 2640000, Residual:0.607545
Iter 2680000, Residual:0.60192
Iter 2720000, Residual:0.582825
Iter 2760000, Residual:0.622526
Iter 2800000, Residual:0.571201
Iter 2840000, Residual:0.566654
Iter 2880000, Residual:0.639307
Iter 2920000, Residual:0.63518
Iter 2960000, Residual:0.572093
Iter 3000000, Residual:0.520003
Iter 3040000, Residual:0.513316
Iter 3080000, Residual:0.509984
Iter 3120000, Residual:0.571852
Iter 3160000, Residual:0.515455
Iter 3200000, Residual:0.497575
Iter 3240000, Residual:0.523415
Iter 3280000, Residual:0.480374
Iter 3320000, Residual:0.49267
Iter 3360000, Residual:0.501685
Iter 3400000, Residual:0.511601
Iter 3440000, Residual:0.429586
Iter 3480000, Residual:0.436582
Iter 3520000, Residual:0.435716
Iter 3560000, Residual:0.429214
Iter 3600000, Residual:0.469827
