*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 3462745828
40000
1
root: 36251
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1311.63
Iter 40000, Residual:54.3622
Iter 80000, Residual:28.5136
Iter 120000, Residual:20.479
Iter 160000, Residual:21.5153
Iter 200000, Residual:14.5601
Iter 240000, Residual:11.4241
Iter 280000, Residual:14.7162
Iter 320000, Residual:10.333
Iter 360000, Residual:8.69673
Iter 400000, Residual:8.83096
Iter 440000, Residual:8.45577
Iter 480000, Residual:6.94249
Iter 520000, Residual:6.53062
Iter 560000, Residual:6.28157
Iter 600000, Residual:6.84935
Iter 640000, Residual:5.90535
Iter 680000, Residual:5.7221
Iter 720000, Residual:5.96514
Iter 760000, Residual:5.46696
Iter 800000, Residual:9.81489
Iter 840000, Residual:5.19199
Iter 880000, Residual:4.74054
Iter 920000, Residual:4.60732
Iter 960000, Residual:4.24225
Iter 1000000, Residual:4.25482
Iter 1040000, Residual:4.44217
Iter 1080000, Residual:4.95348
Iter 1120000, Residual:4.41374
Iter 1160000, Residual:5.87889
Iter 1200000, Residual:3.96796
Iter 1240000, Residual:3.80872
Iter 1280000, Residual:3.85115
Iter 1320000, Residual:3.69261
Iter 1360000, Residual:4.73969
Iter 1400000, Residual:3.53744
Iter 1440000, Residual:3.15745
Iter 1480000, Residual:3.70527
Iter 1520000, Residual:3.4074
Iter 1560000, Residual:3.85747
Iter 1600000, Residual:3.02465
Iter 1640000, Residual:2.83327
Iter 1680000, Residual:3.20346
Iter 1720000, Residual:3.00462
Iter 1760000, Residual:2.88911
Iter 1800000, Residual:3.6485
Iter 1840000, Residual:2.8967
Iter 1880000, Residual:2.73153
Iter 1920000, Residual:2.82311
Iter 1960000, Residual:2.98852
Iter 2000000, Residual:2.47226
Iter 2040000, Residual:2.68551
Iter 2080000, Residual:2.74919
Iter 2120000, Residual:2.72542
Iter 2160000, Residual:2.46541
Iter 2200000, Residual:2.68082
Iter 2240000, Residual:2.39439
Iter 2280000, Residual:2.61534
Iter 2320000, Residual:2.20647
Iter 2360000, Residual:2.39495
Iter 2400000, Residual:3.66351
Iter 2440000, Residual:2.22671
Iter 2480000, Residual:2.83849
Iter 2520000, Residual:2.17712
Iter 2560000, Residual:2.70437
Iter 2600000, Residual:2.239
Iter 2640000, Residual:2.04072
Iter 2680000, Residual:2.03329
Iter 2720000, Residual:1.90496
Iter 2760000, Residual:1.91619
Iter 2800000, Residual:1.96269
Iter 2840000, Residual:3.05284
Iter 2880000, Residual:1.86951
Iter 2920000, Residual:1.76313
Iter 2960000, Residual:1.88046
Iter 3000000, Residual:1.74102
Iter 3040000, Residual:1.77326
Iter 3080000, Residual:1.81306
Iter 3120000, Residual:1.85301
Iter 3160000, Residual:1.79245
Iter 3200000, Residual:1.70919
Iter 3240000, Residual:1.58363
Iter 3280000, Residual:1.68719
Iter 3320000, Residual:1.5445
Iter 3360000, Residual:1.46833
Iter 3400000, Residual:1.50726
Iter 3440000, Residual:1.39075
Iter 3480000, Residual:1.55816
Iter 3520000, Residual:1.62259
Iter 3560000, Residual:1.41596
Iter 3600000, Residual:1.4377
Iter 3640000, Residual:1.33803
Iter 3680000, Residual:1.80789
Iter 3720000, Residual:1.4927
Iter 3760000, Residual:1.61204
Iter 3800000, Residual:1.40628
Iter 3840000, Residual:1.46385
Iter 3880000, Residual:1.23875
Iter 3920000, Residual:1.38993
Iter 3960000, Residual:1.22749
Iter 4000000, Residual:1.56459
Iter 4040000, Residual:1.16383
Iter 4080000, Residual:1.20314
Iter 4120000, Residual:1.42913
Iter 4160000, Residual:1.1489
Iter 4200000, Residual:1.25929
Iter 4240000, Residual:1.17705
Iter 4280000, Residual:1.07643
Iter 4320000, Residual:1.37725
Iter 4360000, Residual:1.39632
Iter 4400000, Residual:0.987268
Iter 4440000, Residual:1.01602
Iter 4480000, Residual:1.28482
Iter 4520000, Residual:1.04502
Iter 4560000, Residual:1.17112
Iter 4600000, Residual:1.03573
Iter 4640000, Residual:0.95534
Iter 4680000, Residual:0.932316
Iter 4720000, Residual:0.950652
Iter 4760000, Residual:0.96097
Iter 4800000, Residual:1.04838
Iter 4840000, Residual:1.01013
Iter 4880000, Residual:0.997082
Iter 4920000, Residual:0.886559
Iter 4960000, Residual:0.92047
Iter 5000000, Residual:0.884761
Iter 5040000, Residual:1.09035
Iter 5080000, Residual:0.814241
Iter 5120000, Residual:0.832877
Iter 5160000, Residual:0.785493
Iter 5200000, Residual:0.840897
Iter 5240000, Residual:0.725252
Iter 5280000, Residual:0.848902
Iter 5320000, Residual:0.890335
Iter 5360000, Residual:0.742533
Iter 5400000, Residual:0.731425
Iter 5440000, Residual:0.855673
Iter 5480000, Residual:0.735204
Iter 5520000, Residual:0.952211
Iter 5560000, Residual:0.818756
Iter 5600000, Residual:0.693184
Iter 5640000, Residual:0.733571
Iter 5680000, Residual:0.709383
Iter 5720000, Residual:0.691776
Iter 5760000, Residual:0.623395
Iter 5800000, Residual:0.604923
Iter 5840000, Residual:0.721693
Iter 5880000, Residual:0.833587
Iter 5920000, Residual:0.708795
Iter 5960000, Residual:0.662301
Iter 6000000, Residual:0.631906
Iter 6040000, Residual:0.625009
Iter 6080000, Residual:0.585987
Iter 6120000, Residual:0.603301
Iter 6160000, Residual:0.592831
Iter 6200000, Residual:0.569971
Iter 6240000, Residual:0.567147
Iter 6280000, Residual:0.620654
