linesolver
iteration 1: energy = 19664263.895956 = 19664263.895961, xb = 292153.115269, voltage energy = 5856242.779261, gap = 24936200.4446838386356831
iteration 2: energy = 10984767.130297 = 10984767.130303, xb = 309505.624520, voltage energy = 12970935.313849, gap = 23336691.1951114274561405
iteration 3: energy = 6234298.787644 = 6234298.787651, xb = 234235.591622, voltage energy = 1878566.917875, gap = 7644394.5222822111099958
iteration 4: energy = 3199245.866334 = 3199245.866340, xb = 243507.630096, voltage energy = 4611461.063682, gap = 7323691.6698300959542394
iteration 5: energy = 1895752.140401 = 1895752.140408, xb = 241492.577643, voltage energy = 632584.611516, gap = 2045351.5966372005641460
iteration 6: energy = 1189411.562930 = 1189411.562937, xb = 240892.984786, voltage energy = 550698.232259, gap = 1258323.8256233918946236
iteration 7: energy = 753710.561823 = 753710.561829, xb = 232645.814697, voltage energy = 427821.714670, gap = 716240.6471063101198524
iteration 8: energy = 520251.342877 = 520251.342884, xb = 235822.355221, voltage energy = 308239.920607, gap = 356846.5530490181408823
iteration 9: energy = 392893.749310 = 392893.749316, xb = 235080.195560, voltage energy = 435019.281141, gap = 357752.6393363283132203
iteration 10: energy = 325380.193342 = 325380.193349, xb = 236612.042211, voltage energy = 250587.840560, gap = 102743.9494862699357327
iteration 11: energy = 297030.784911 = 297030.784917, xb = 241312.403452, voltage energy = 256209.870080, gap = 70615.8480941220768727
iteration 12: energy = 261174.254629 = 261174.254635, xb = 236598.951670, voltage energy = 243844.951542, gap = 31821.3028377625741996
iteration 13: energy = 251740.415743 = 251740.415750, xb = 237007.639487, voltage energy = 243988.310783, gap = 21713.4475588597997557
iteration 14: energy = 246103.285188 = 246103.285194, xb = 236399.788769, voltage energy = 250820.104573, gap = 24123.8122300975373946
iteration 15: energy = 240946.464820 = 240946.464826, xb = 236126.708806, voltage energy = 236898.580407, gap = 5591.6276201496948488
iteration 16: energy = 239514.635189 = 239514.635196, xb = 236163.821381, voltage energy = 236884.940996, gap = 4071.9334306805394590
iteration 17: energy = 238072.192966 = 238072.192973, xb = 236083.296823, voltage energy = 236468.322331, gap = 2373.9216571166471113
