linesolver
iteration 1: energy = 178632.026831 = 178632.026831, xb = 184.439760, voltage energy = 3486.156811, gap = 181749.3041224714543205
iteration 2: energy = 27117.941708 = 27117.941708, xb = 207.115362, voltage energy = 4249.801000, gap = 30953.5119839477665664
iteration 3: energy = 22050.803288 = 22050.803288, xb = 203.623276, voltage energy = 1330.290221, gap = 22973.8469565409614006
iteration 4: energy = 4844.144592 = 4844.144592, xb = 225.088650, voltage energy = 888.187945, gap = 5282.1552364684584973
iteration 5: energy = 2247.371821 = 2247.371821, xb = 248.101652, voltage energy = 1081.193466, gap = 2832.3619831617620548
iteration 6: energy = 1633.124524 = 1633.124524, xb = 229.979159, voltage energy = 424.618247, gap = 1597.7844527060688051
iteration 7: energy = 792.925659 = 792.925659, xb = 246.336135, voltage energy = 337.902338, gap = 638.1557269377440207
iteration 8: energy = 440.649503 = 440.649503, xb = 240.394989, voltage energy = 281.861449, gap = 241.7209737991769885
iteration 9: energy = 348.195714 = 348.195714, xb = 246.062295, voltage energy = 885.868143, gap = 741.9392666420390015
iteration 10: energy = 297.088869 = 297.088869, xb = 242.715898, voltage energy = 254.909679, gap = 66.5667529909366067
iteration 11: energy = 269.526335 = 269.526335, xb = 247.090315, voltage energy = 270.460098, gap = 45.8058034467844095
iteration 12: energy = 258.924622 = 258.924622, xb = 246.929877, voltage energy = 252.562180, gap = 17.6270485396036634
iteration 13: energy = 252.319553 = 252.319553, xb = 244.477406, voltage energy = 246.135709, gap = 9.5004508555677205
iteration 14: energy = 249.448376 = 249.448376, xb = 245.929820, voltage energy = 247.617421, gap = 5.2061576364868642
iteration 15: energy = 247.516504 = 247.516504, xb = 245.518149, voltage energy = 246.141743, gap = 2.6219493646070191
iteration 16: energy = 246.454754 = 246.454754, xb = 245.973791, voltage energy = 247.107881, gap = 1.6150537892396812
iteration 17: energy = 246.073791 = 246.073791, xb = 245.353069, voltage energy = 245.259559, gap = 0.6272126394528073
iteration 18: energy = 245.865819 = 245.865818, xb = 245.671352, voltage energy = 245.903435, gap = 0.4265482795170215
iteration 19: energy = 245.738416 = 245.738415, xb = 245.616644, voltage energy = 245.716656, gap = 0.2217824628929463
iteration 20: energy = 245.676291 = 245.676290, xb = 245.551464, voltage energy = 245.559180, gap = 0.1325425175234898
iteration 21: energy = 245.637958 = 245.637958, xb = 245.496886, voltage energy = 245.440104, gap = 0.0842911186203139
iteration 22: energy = 245.609870 = 245.609870, xb = 245.537662, voltage energy = 245.517044, gap = 0.0515899829110822
iteration 23: energy = 245.581437 = 245.581437, xb = 245.500468, voltage energy = 245.450151, gap = 0.0306521067686276
iteration 24: energy = 245.570768 = 245.570768, xb = 245.565757, voltage energy = 245.570605, gap = 0.0098583921262616
iteration 25: energy = 245.567075 = 245.567075, xb = 245.622600, voltage energy = 245.683723, gap = 0.0055964499559309
iteration 26: energy = 245.564784 = 245.564784, xb = 245.558408, voltage energy = 245.554537, gap = 0.0025054105369975
iteration 27: energy = 245.563861 = 245.563861, xb = 245.561673, voltage energy = 245.561121, gap = 0.0016361312308391
iteration 28: energy = 245.563480 = 245.563480, xb = 245.558150, voltage energy = 245.553801, gap = 0.0009800519347039
iteration 29: energy = 245.563066 = 245.563066, xb = 245.559624, voltage energy = 245.556629, gap = 0.0004463679541686
iteration 30: energy = 245.562874 = 245.562874, xb = 245.557249, voltage energy = 245.551853, gap = 0.0002286049668498
iteration 31: energy = 245.562786 = 245.562785, xb = 245.561338, voltage energy = 245.560007, gap = 0.0001163241360302
iteration 32: energy = 245.562737 = 245.562737, xb = 245.564284, voltage energy = 245.565931, gap = 0.0001014218976536
iteration 33: energy = 245.562713 = 245.562713, xb = 245.562925, voltage energy = 245.563177, gap = 0.0000393517211137
iteration 34: energy = 245.562703 = 245.562703, xb = 245.564261, voltage energy = 245.565841, gap = 0.0000225674203875
iteration 35: energy = 245.562698 = 245.562698, xb = 245.563449, voltage energy = 245.564215, gap = 0.0000159793446812
iteration 36: energy = 245.562693 = 245.562693, xb = 245.562545, voltage energy = 245.562407, gap = 0.0000099915808107
iteration 37: energy = 245.562689 = 245.562689, xb = 245.562877, voltage energy = 245.563071, gap = 0.0000061745073765
iteration 38: energy = 245.562687 = 245.562687, xb = 245.562487, voltage energy = 245.562291, gap = 0.0000035634665778
iteration 39: energy = 245.562686 = 245.562685, xb = 245.562602, voltage energy = 245.562521, gap = 0.0000021334190308
iteration 40: energy = 245.562684 = 245.562684, xb = 245.562701, voltage energy = 245.562719, gap = 0.0000007770852335
iteration 41: energy = 245.562684 = 245.562684, xb = 245.562698, voltage energy = 245.562712, gap = 0.0000005722820902
iteration 42: energy = 245.562684 = 245.562684, xb = 245.562727, voltage energy = 245.562771, gap = 0.0000003138700322
iteration 43: energy = 245.562684 = 245.562684, xb = 245.562766, voltage energy = 245.562848, gap = 0.0000001455903771
iteration 44: energy = 245.562684 = 245.562684, xb = 245.562684, voltage energy = 245.562684, gap = 0.0000000774444402
iteration 45: energy = 245.562684 = 245.562684, xb = 245.562685, voltage energy = 245.562686, gap = 0.0000000486132876
iteration 46: energy = 245.562684 = 245.562684, xb = 245.562671, voltage energy = 245.562658, gap = 0.0000000513022087
iteration 47: energy = 245.562684 = 245.562684, xb = 245.562674, voltage energy = 245.562665, gap = 0.0000000339791768
iteration 48: energy = 245.562684 = 245.562683, xb = 245.562714, voltage energy = 245.562745, gap = 0.0000000143217562
iteration 49: energy = 245.562684 = 245.562683, xb = 245.562678, voltage energy = 245.562672, gap = 0.0000000082938243
iteration 50: energy = 245.562684 = 245.562683, xb = 245.562687, voltage energy = 245.562690, gap = 0.0000000077253617
iteration 51: energy = 245.562684 = 245.562683, xb = 245.562682, voltage energy = 245.562680, gap = 0.0000000024132021
iteration 52: energy = 245.562684 = 245.562683, xb = 245.562680, voltage energy = 245.562676, gap = 0.0000000009133316
iteration 53: energy = 245.562684 = 245.562683, xb = 245.562679, voltage energy = 245.562674, gap = 0.0000000006752714
linesolver
iteration 1: energy = 178632.026831 = 178632.026831, xb = 184.439760, voltage energy = 3486.156811, gap = 181749.3041224714543205
iteration 2: energy = 27117.941708 = 27117.941708, xb = 207.115362, voltage energy = 4249.801000, gap = 30953.5119839477665664
iteration 3: energy = 22050.803288 = 22050.803288, xb = 203.623276, voltage energy = 1330.290221, gap = 22973.8469565409614006
iteration 4: energy = 4844.144592 = 4844.144592, xb = 225.088650, voltage energy = 888.187945, gap = 5282.1552364684584973
iteration 5: energy = 2247.371821 = 2247.371821, xb = 248.101652, voltage energy = 1081.193466, gap = 2832.3619831617620548
iteration 6: energy = 1633.124524 = 1633.124524, xb = 229.979159, voltage energy = 424.618247, gap = 1597.7844527060688051
iteration 7: energy = 792.925659 = 792.925659, xb = 246.336135, voltage energy = 337.902338, gap = 638.1557269377440207
iteration 8: energy = 440.649503 = 440.649503, xb = 240.394989, voltage energy = 281.861449, gap = 241.7209737991769885
iteration 9: energy = 348.195714 = 348.195714, xb = 246.062295, voltage energy = 885.868143, gap = 741.9392666420390015
iteration 10: energy = 297.088869 = 297.088869, xb = 242.715898, voltage energy = 254.909679, gap = 66.5667529909366067
iteration 11: energy = 269.526335 = 269.526335, xb = 247.090315, voltage energy = 270.460098, gap = 45.8058034467844095
iteration 12: energy = 258.924622 = 258.924622, xb = 246.929877, voltage energy = 252.562180, gap = 17.6270485396036634
iteration 13: energy = 252.319553 = 252.319553, xb = 244.477406, voltage energy = 246.135709, gap = 9.5004508555677205
iteration 14: energy = 249.448376 = 249.448376, xb = 245.929820, voltage energy = 247.617421, gap = 5.2061576364868642
iteration 15: energy = 247.516504 = 247.516504, xb = 245.518149, voltage energy = 246.141743, gap = 2.6219493646070191
iteration 16: energy = 246.454754 = 246.454754, xb = 245.973791, voltage energy = 247.107881, gap = 1.6150537892396812
iteration 17: energy = 246.073791 = 246.073791, xb = 245.353069, voltage energy = 245.259559, gap = 0.6272126394528073
iteration 18: energy = 245.865819 = 245.865818, xb = 245.671352, voltage energy = 245.903435, gap = 0.4265482795170215
iteration 19: energy = 245.738416 = 245.738415, xb = 245.616644, voltage energy = 245.716656, gap = 0.2217824628929463
iteration 20: energy = 245.676291 = 245.676290, xb = 245.551464, voltage energy = 245.559180, gap = 0.1325425175234898
iteration 21: energy = 245.637958 = 245.637958, xb = 245.496886, voltage energy = 245.440104, gap = 0.0842911186203139
iteration 22: energy = 245.609870 = 245.609870, xb = 245.537662, voltage energy = 245.517044, gap = 0.0515899829110822
iteration 23: energy = 245.581437 = 245.581437, xb = 245.500468, voltage energy = 245.450151, gap = 0.0306521067686276
iteration 24: energy = 245.570768 = 245.570768, xb = 245.565757, voltage energy = 245.570605, gap = 0.0098583921262616
iteration 25: energy = 245.567075 = 245.567075, xb = 245.622600, voltage energy = 245.683723, gap = 0.0055964499559309
iteration 26: energy = 245.564784 = 245.564784, xb = 245.558408, voltage energy = 245.554537, gap = 0.0025054105369975
iteration 27: energy = 245.563861 = 245.563861, xb = 245.561673, voltage energy = 245.561121, gap = 0.0016361312308391
iteration 28: energy = 245.563480 = 245.563480, xb = 245.558150, voltage energy = 245.553801, gap = 0.0009800519347039
iteration 29: energy = 245.563066 = 245.563066, xb = 245.559624, voltage energy = 245.556629, gap = 0.0004463679541686
iteration 30: energy = 245.562874 = 245.562874, xb = 245.557249, voltage energy = 245.551853, gap = 0.0002286049668498
iteration 31: energy = 245.562786 = 245.562785, xb = 245.561338, voltage energy = 245.560007, gap = 0.0001163241360302
