linesolver
iteration 1: energy = 49749101.450762 = 49749101.450767, xb = 71427.634892, voltage energy = 4070278.130588, gap = 53676524.3115704059600830
iteration 2: energy = 13391924.663046 = 13391924.663050, xb = 79698.918990, voltage energy = 1375072.015423, gap = 14607598.8404924534261227
iteration 3: energy = 2633510.860579 = 2633510.860583, xb = 76354.999896, voltage energy = 333480.151568, gap = 2814281.0123600056394935
iteration 4: energy = 655692.539405 = 655692.539410, xb = 72336.985921, voltage energy = 124973.023311, gap = 635991.5908772916300222
iteration 5: energy = 232905.841057 = 232905.841062, xb = 70094.900080, voltage energy = 93398.145434, gap = 186114.1863360644783825
iteration 6: energy = 119297.339681 = 119297.339686, xb = 82200.991772, voltage energy = 106897.127894, gap = 61792.4840350278391270
iteration 7: energy = 88866.415924 = 88866.415929, xb = 79218.393530, voltage energy = 81751.585276, gap = 12181.2141438582475530
iteration 8: energy = 82420.310775 = 82420.310779, xb = 78362.799763, voltage energy = 78815.292169, gap = 4510.0034233810001751
iteration 9: energy = 79342.545466 = 79342.545471, xb = 78392.386325, voltage energy = 78632.913676, gap = 1190.6864983320701867
iteration 10: energy = 78585.447939 = 78585.447944, xb = 78313.760274, voltage energy = 78389.014290, gap = 346.9416853485163301
iteration 11: energy = 78352.590242 = 78352.590247, xb = 78220.707772, voltage energy = 78187.649014, gap = 98.8237177973060170
iteration 12: energy = 78278.403951 = 78278.403956, xb = 78204.809995, voltage energy = 78149.492615, gap = 18.2765812403958989
iteration 13: energy = 78265.914815 = 78265.914820, xb = 78247.752182, voltage energy = 78234.100958, gap = 4.5114139692886965
iteration 14: energy = 78263.263511 = 78263.263516, xb = 78258.967186, voltage energy = 78255.765533, gap = 1.0946767240093322
iteration 15: energy = 78262.580921 = 78262.580926, xb = 78264.467534, voltage energy = 78266.639367, gap = 0.2852253452874720
iteration 16: energy = 78262.431357 = 78262.431362, xb = 78265.370706, voltage energy = 78268.370117, gap = 0.0600669360719621
iteration 17: energy = 78262.394375 = 78262.394379, xb = 78261.162334, voltage energy = 78259.952498, gap = 0.0222104092536028
iteration 18: energy = 78262.383652 = 78262.383655, xb = 78262.210218, voltage energy = 78262.041101, gap = 0.0043197609775234
iteration 19: energy = 78262.380819 = 78262.380821, xb = 78262.172573, voltage energy = 78261.965260, gap = 0.0009335115610156
iteration 20: energy = 78262.380239 = 78262.380239, xb = 78262.447316, voltage energy = 78262.514627, gap = 0.0002336881007068
iteration 21: energy = 78262.380090 = 78262.380087, xb = 78262.381308, voltage energy = 78262.382594, gap = 0.0000650067377137
iteration 22: energy = 78262.380054 = 78262.380048, xb = 78262.333126, voltage energy = 78262.286220, gap = 0.0000157803006005
iteration 23: energy = 78262.380047 = 78262.380039, xb = 78262.385967, voltage energy = 78262.391899, gap = 0.0000039731821744
linesolver
iteration 1: energy = 49749101.450762 = 49749101.450767, xb = 71427.634892, voltage energy = 4070278.130588, gap = 53676524.3115704059600830
iteration 2: energy = 13391924.663046 = 13391924.663050, xb = 79698.918990, voltage energy = 1375072.015423, gap = 14607598.8404924534261227
iteration 3: energy = 2633510.860579 = 2633510.860583, xb = 76354.999896, voltage energy = 333480.151568, gap = 2814281.0123600056394935
iteration 4: energy = 655692.539405 = 655692.539410, xb = 72336.985921, voltage energy = 124973.023311, gap = 635991.5908772916300222
iteration 5: energy = 232905.841057 = 232905.841062, xb = 70094.900080, voltage energy = 93398.145434, gap = 186114.1863360644783825
iteration 6: energy = 119297.339681 = 119297.339686, xb = 82200.991772, voltage energy = 106897.127894, gap = 61792.4840350278391270
iteration 7: energy = 88866.415924 = 88866.415929, xb = 79218.393530, voltage energy = 81751.585276, gap = 12181.2141438582475530
iteration 8: energy = 82420.310775 = 82420.310779, xb = 78362.799763, voltage energy = 78815.292169, gap = 4510.0034233810001751
iteration 9: energy = 79342.545466 = 79342.545471, xb = 78392.386325, voltage energy = 78632.913676, gap = 1190.6864983320701867
iteration 10: energy = 78585.447939 = 78585.447944, xb = 78313.760274, voltage energy = 78389.014290, gap = 346.9416853485163301
iteration 11: energy = 78352.590242 = 78352.590247, xb = 78220.707772, voltage energy = 78187.649014, gap = 98.8237177973060170
iteration 12: energy = 78278.403951 = 78278.403956, xb = 78204.809995, voltage energy = 78149.492615, gap = 18.2765812403958989
iteration 13: energy = 78265.914815 = 78265.914820, xb = 78247.752182, voltage energy = 78234.100958, gap = 4.5114139692886965
iteration 14: energy = 78263.263511 = 78263.263516, xb = 78258.967186, voltage energy = 78255.765533, gap = 1.0946767240093322
iteration 15: energy = 78262.580921 = 78262.580926, xb = 78264.467534, voltage energy = 78266.639367, gap = 0.2852253452874720
iteration 16: energy = 78262.431357 = 78262.431362, xb = 78265.370706, voltage energy = 78268.370117, gap = 0.0600669360719621
iteration 17: energy = 78262.394375 = 78262.394379, xb = 78261.162334, voltage energy = 78259.952498, gap = 0.0222104092536028
iteration 18: energy = 78262.383652 = 78262.383655, xb = 78262.210218, voltage energy = 78262.041101, gap = 0.0043197609775234
