linesolver
iteration 1: energy = 369472.179834 = 369472.179835, xb = 333413.937748, voltage energy = 736995.901744, gap = 439640.2060828389949165
iteration 2: energy = 274628.509655 = 274628.509655, xb = 246818.824068, voltage energy = 348048.141949, gap = 129039.0034688970772550
iteration 3: energy = 242528.328128 = 242528.328128, xb = 225972.297115, voltage energy = 260405.391602, gap = 50989.1254995935014449
iteration 4: energy = 229113.658802 = 229113.658802, xb = 219929.929667, voltage energy = 233700.623612, gap = 22954.4230799406650476
iteration 5: energy = 222921.696156 = 222921.696157, xb = 217922.418380, voltage energy = 223948.054529, gap = 11024.9139254414767493
iteration 6: energy = 219884.794296 = 219884.794296, xb = 217263.070573, voltage energy = 220064.141108, gap = 5422.7942579146474600
iteration 7: energy = 218386.832544 = 218386.832544, xb = 217022.402795, voltage energy = 218395.068033, gap = 2737.0949865499860607
iteration 8: energy = 217611.106971 = 217611.106972, xb = 216891.299902, voltage energy = 217545.675285, gap = 1374.1824520927038975
iteration 9: energy = 217221.696658 = 217221.696658, xb = 216855.885029, voltage energy = 217181.384212, gap = 691.3108123167185113
iteration 10: energy = 217027.081742 = 217027.081742, xb = 216829.698563, voltage energy = 216988.623390, gap = 356.3080065551912412
iteration 11: energy = 216928.150369 = 216928.150369, xb = 216839.449591, voltage energy = 216935.677895, gap = 184.9290820010355674
iteration 12: energy = 216876.166338 = 216876.166338, xb = 216831.248800, voltage energy = 216882.593357, gap = 96.2620962829387281
iteration 13: energy = 216849.075927 = 216849.075927, xb = 216822.987620, voltage energy = 216846.994015, gap = 50.0947007788636256
iteration 14: energy = 216834.078511 = 216834.078511, xb = 216818.066412, voltage energy = 216826.473709, gap = 24.4193960997799877
iteration 15: energy = 216827.596501 = 216827.596501, xb = 216819.150366, voltage energy = 216824.187729, gap = 13.4834971833042800
iteration 16: energy = 216823.684996 = 216823.684996, xb = 216818.249791, voltage energy = 216819.447704, gap = 6.6331172085774597
