linesolver
iteration 1: energy = 249140.787126 = 249140.786898, xb = 138515.046598, voltage energy = 218315.151940, gap = 190425.8456435610423796
iteration 2: energy = 226357.304061 = 226357.303833, xb = 136754.025199, voltage energy = 160808.624347, gap = 113657.8777813689666800
iteration 3: energy = 203170.148873 = 203170.148645, xb = 136176.335262, voltage energy = 196399.141243, gap = 127216.6193646172177978
iteration 4: energy = 175423.782854 = 175423.782627, xb = 135833.964170, voltage energy = 144077.442935, gap = 47833.2972221136733424
iteration 5: energy = 169622.426147 = 169622.425919, xb = 135704.964167, voltage energy = 142815.048863, gap = 41027.5464484282128979
iteration 6: energy = 159031.982872 = 159031.982645, xb = 135522.571564, voltage energy = 141483.560011, gap = 29470.3995292949839495
iteration 7: energy = 150025.378154 = 150025.377926, xb = 135307.284887, voltage energy = 217796.691073, gap = 97207.4992245952889789
iteration 8: energy = 146928.060668 = 146928.060441, xb = 135290.707302, voltage energy = 138104.232099, gap = 14450.8779358237225097
iteration 9: energy = 144480.510583 = 144480.510356, xb = 135251.757382, voltage energy = 137960.778590, gap = 11937.7741805583646055
iteration 10: energy = 141714.387781 = 141714.387554, xb = 135166.167946, voltage energy = 136692.253585, gap = 8074.3052471449773293
iteration 11: energy = 140345.424514 = 140345.424287, xb = 135178.873197, voltage energy = 136907.397242, gap = 6895.0751335726235993
iteration 12: energy = 139538.284002 = 139538.283775, xb = 135087.788946, voltage energy = 137504.908434, gap = 6867.6143166712136008
iteration 13: energy = 138630.544336 = 138630.544109, xb = 135076.580975, voltage energy = 135929.979897, gap = 4407.3620560298732016
iteration 14: energy = 137343.572368 = 137343.572141, xb = 135063.911870, voltage energy = 135450.717398, gap = 2666.4657982525532134
iteration 15: energy = 136658.179635 = 136658.179408, xb = 135024.728008, voltage energy = 135569.037998, gap = 2177.7613905583566520
iteration 16: energy = 136324.855288 = 136324.855060, xb = 135014.311833, voltage energy = 135275.097074, gap = 1571.3284671224828344
iteration 17: energy = 136004.188892 = 136004.188664, xb = 134970.071178, voltage energy = 135229.818997, gap = 1293.8653057044721209
