linesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441091, voltage energy = 237044.528884, gap = 761782.0767156148795038
iteration 2: energy = 167973.311964 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.5513706609490328
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.8074263464659452
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.1372598981979536
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.2940288934769342
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.5112559381377650
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.0379616692225682
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.0047644695878262
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.0005177585117053
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.0000103477796074
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.0000007157941582
linesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441091, voltage energy = 237044.528884, gap = 761782.0767156148795038
iteration 2: energy = 167973.311964 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.5513706609490328
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.8074263464659452
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.1372598981979536
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.2940288934769342
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.5112559381377650
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.0379616692225682
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.0047644695878262
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.0005177585117053
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.0000103477796074
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.0000007157941582
linesolver
iteration 1: energy = 770684.430013 = 770684.430013, xb = 122973.441091, voltage energy = 237044.528884, gap = 761782.0767156148795038
iteration 2: energy = 167973.311964 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.5513706609490328
iteration 3: energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.8074263464659452
iteration 4: energy = 126045.602901 = 126045.602901, xb = 125933.998195, voltage energy = 125988.530750, gap = 166.1372598981979536
iteration 5: energy = 125933.003312 = 125933.003312, xb = 125897.905724, voltage energy = 125871.102165, gap = 8.2940288934769342
iteration 6: energy = 125926.634710 = 125926.634709, xb = 125938.642572, voltage energy = 125951.161691, gap = 0.5112559381377650
iteration 7: energy = 125926.253479 = 125926.253479, xb = 125927.454653, voltage energy = 125928.693789, gap = 0.0379616692225682
iteration 8: energy = 125926.224963 = 125926.224963, xb = 125924.519716, voltage energy = 125922.819234, gap = 0.0047644695878262
iteration 9: energy = 125926.222824 = 125926.222824, xb = 125926.284758, voltage energy = 125926.347209, gap = 0.0005177585117053
iteration 10: energy = 125926.222684 = 125926.222684, xb = 125926.230231, voltage energy = 125926.237789, gap = 0.0000103477796074
iteration 11: energy = 125926.222677 = 125926.222677, xb = 125926.223508, voltage energy = 125926.224340, gap = 0.0000007157941582
linesolver
