linesolver
iteration 1: energy = 7308157.202153 = 7308157.202154, xb = 711654.777166, voltage energy = 1512570.742695, gap = 7397418.3905156403779984
iteration 2: energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.7436904212227091
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.8815963696688414
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.5194749261718243
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.4896030140807852
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.2795843778876588
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.5121465114643797
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.0282820364227518
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.0010469397529960
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.0000877511920407
linesolver
iteration 1: energy = 7308157.202153 = 7308157.202154, xb = 711654.777166, voltage energy = 1512570.742695, gap = 7397418.3905156403779984
iteration 2: energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.7436904212227091
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.8815963696688414
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.5194749261718243
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.4896030140807852
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.2795843778876588
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.5121465114643797
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.0282820364227518
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.0010469397529960
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.0000877511920407
linesolver
iteration 1: energy = 7308157.202153 = 7308157.202154, xb = 711654.777166, voltage energy = 1512570.742695, gap = 7397418.3905156403779984
iteration 2: energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.7436904212227091
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.8815963696688414
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.5194749261718243
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.4896030140807852
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.2795843778876588
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.5121465114643797
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.0282820364227518
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.0010469397529960
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.0000877511920407
linesolver
