linesolver
iteration 1: energy = 7072.286866 = 7072.286866, xb = 6535.629065, voltage energy = 6790.221612, gap = 791.2503473933884379
iteration 2: energy = 6753.730417 = 6753.730417, xb = 6519.768715, voltage energy = 6650.440898, gap = 364.6338842630921135
iteration 3: energy = 6620.946488 = 6620.946488, xb = 6504.698286, voltage energy = 6547.432679, gap = 158.9825944192298266
iteration 4: energy = 6553.996374 = 6553.996374, xb = 6501.072753, voltage energy = 6540.808851, gap = 92.6597197381915976
iteration 5: energy = 6519.238796 = 6519.238796, xb = 6497.991433, voltage energy = 6507.401976, gap = 30.6579062111186431
iteration 6: energy = 6509.524717 = 6509.524717, xb = 6497.120819, voltage energy = 6502.681455, gap = 17.9645337709653177
iteration 7: energy = 6505.112784 = 6505.112784, xb = 6496.425576, voltage energy = 6500.213813, gap = 12.4754450991185877
iteration 8: energy = 6498.047159 = 6498.047159, xb = 6498.765551, voltage energy = 6551.696292, gap = 52.2123492154214546
iteration 9: energy = 6496.839370 = 6496.839370, xb = 6495.262530, voltage energy = 6496.253935, gap = 2.5682439399652139
iteration 10: energy = 6495.658926 = 6495.658926, xb = 6494.885226, voltage energy = 6495.451173, gap = 1.3396479123639438
iteration 11: energy = 6494.979652 = 6494.979652, xb = 6494.804253, voltage energy = 6494.988969, gap = 0.3601163721932608
iteration 12: energy = 6494.800432 = 6494.800432, xb = 6494.735154, voltage energy = 6494.827215, gap = 0.1573388172773775
iteration 13: energy = 6494.738124 = 6494.738124, xb = 6494.754295, voltage energy = 6494.830523, gap = 0.0600570215983680
iteration 14: energy = 6494.709254 = 6494.709254, xb = 6494.705338, voltage energy = 6494.741300, gap = 0.0398777733880706
iteration 15: energy = 6494.700129 = 6494.700129, xb = 6494.718318, voltage energy = 6494.749300, gap = 0.0127933372086773
iteration 16: energy = 6494.695529 = 6494.695529, xb = 6494.675699, voltage energy = 6494.665234, gap = 0.0093660474040007
iteration 17: energy = 6494.693357 = 6494.693357, xb = 6494.719634, voltage energy = 6494.749030, gap = 0.0031180575024337
iteration 18: energy = 6494.692387 = 6494.692387, xb = 6494.702823, voltage energy = 6494.714679, gap = 0.0014190004221746
iteration 19: energy = 6494.691995 = 6494.691995, xb = 6494.693057, voltage energy = 6494.694870, gap = 0.0007506269585065
iteration 20: energy = 6494.691751 = 6494.691751, xb = 6494.690618, voltage energy = 6494.689867, gap = 0.0003809082463704
iteration 21: energy = 6494.691628 = 6494.691628, xb = 6494.693441, voltage energy = 6494.695478, gap = 0.0002242139671580
linesolver
iteration 1: energy = 7072.286866 = 7072.286866, xb = 6535.629065, voltage energy = 6790.221612, gap = 791.2503473933884379
iteration 2: energy = 6753.730417 = 6753.730417, xb = 6519.768715, voltage energy = 6650.440898, gap = 364.6338842630921135
iteration 3: energy = 6620.946488 = 6620.946488, xb = 6504.698286, voltage energy = 6547.432679, gap = 158.9825944192298266
iteration 4: energy = 6553.996374 = 6553.996374, xb = 6501.072753, voltage energy = 6540.808851, gap = 92.6597197381915976
iteration 5: energy = 6519.238796 = 6519.238796, xb = 6497.991433, voltage energy = 6507.401976, gap = 30.6579062111186431
iteration 6: energy = 6509.524717 = 6509.524717, xb = 6497.120819, voltage energy = 6502.681455, gap = 17.9645337709653177
iteration 7: energy = 6505.112784 = 6505.112784, xb = 6496.425576, voltage energy = 6500.213813, gap = 12.4754450991185877
iteration 8: energy = 6498.047159 = 6498.047159, xb = 6498.765551, voltage energy = 6551.696292, gap = 52.2123492154214546
iteration 9: energy = 6496.839370 = 6496.839370, xb = 6495.262530, voltage energy = 6496.253935, gap = 2.5682439399652139
iteration 10: energy = 6495.658926 = 6495.658926, xb = 6494.885226, voltage energy = 6495.451173, gap = 1.3396479123639438
iteration 11: energy = 6494.979652 = 6494.979652, xb = 6494.804253, voltage energy = 6494.988969, gap = 0.3601163721932608
iteration 12: energy = 6494.800432 = 6494.800432, xb = 6494.735154, voltage energy = 6494.827215, gap = 0.1573388172773775
iteration 13: energy = 6494.738124 = 6494.738124, xb = 6494.754295, voltage energy = 6494.830523, gap = 0.0600570215983680
iteration 14: energy = 6494.709254 = 6494.709254, xb = 6494.705338, voltage energy = 6494.741300, gap = 0.0398777733880706
iteration 15: energy = 6494.700129 = 6494.700129, xb = 6494.718318, voltage energy = 6494.749300, gap = 0.0127933372086773
iteration 16: energy = 6494.695529 = 6494.695529, xb = 6494.675699, voltage energy = 6494.665234, gap = 0.0093660474040007
iteration 17: energy = 6494.693357 = 6494.693357, xb = 6494.719634, voltage energy = 6494.749030, gap = 0.0031180575024337
iteration 18: energy = 6494.692387 = 6494.692387, xb = 6494.702823, voltage energy = 6494.714679, gap = 0.0014190004221746
iteration 19: energy = 6494.691995 = 6494.691995, xb = 6494.693057, voltage energy = 6494.694870, gap = 0.0007506269585065
iteration 20: energy = 6494.691751 = 6494.691751, xb = 6494.690618, voltage energy = 6494.689867, gap = 0.0003809082463704
iteration 21: energy = 6494.691628 = 6494.691628, xb = 6494.693441, voltage energy = 6494.695478, gap = 0.0002242139671580
linesolver
iteration 1: energy = 7072.286866 = 7072.286866, xb = 6535.629065, voltage energy = 6790.221612, gap = 791.2503473933884379
iteration 2: energy = 6753.730417 = 6753.730417, xb = 6519.768715, voltage energy = 6650.440898, gap = 364.6338842630921135
iteration 3: energy = 6620.946488 = 6620.946488, xb = 6504.698286, voltage energy = 6547.432679, gap = 158.9825944192298266
iteration 4: energy = 6553.996374 = 6553.996374, xb = 6501.072753, voltage energy = 6540.808851, gap = 92.6597197381915976
iteration 5: energy = 6519.238796 = 6519.238796, xb = 6497.991433, voltage energy = 6507.401976, gap = 30.6579062111186431
iteration 6: energy = 6509.524717 = 6509.524717, xb = 6497.120819, voltage energy = 6502.681455, gap = 17.9645337709653177
iteration 7: energy = 6505.112784 = 6505.112784, xb = 6496.425576, voltage energy = 6500.213813, gap = 12.4754450991185877
iteration 8: energy = 6498.047159 = 6498.047159, xb = 6498.765551, voltage energy = 6551.696292, gap = 52.2123492154214546
iteration 9: energy = 6496.839370 = 6496.839370, xb = 6495.262530, voltage energy = 6496.253935, gap = 2.5682439399652139
iteration 10: energy = 6495.658926 = 6495.658926, xb = 6494.885226, voltage energy = 6495.451173, gap = 1.3396479123639438
iteration 11: energy = 6494.979652 = 6494.979652, xb = 6494.804253, voltage energy = 6494.988969, gap = 0.3601163721932608
iteration 12: energy = 6494.800432 = 6494.800432, xb = 6494.735154, voltage energy = 6494.827215, gap = 0.1573388172773775
iteration 13: energy = 6494.738124 = 6494.738124, xb = 6494.754295, voltage energy = 6494.830523, gap = 0.0600570215983680
iteration 14: energy = 6494.709254 = 6494.709254, xb = 6494.705338, voltage energy = 6494.741300, gap = 0.0398777733880706
iteration 15: energy = 6494.700129 = 6494.700129, xb = 6494.718318, voltage energy = 6494.749300, gap = 0.0127933372086773
iteration 16: energy = 6494.695529 = 6494.695529, xb = 6494.675699, voltage energy = 6494.665234, gap = 0.0093660474040007
iteration 17: energy = 6494.693357 = 6494.693357, xb = 6494.719634, voltage energy = 6494.749030, gap = 0.0031180575024337
iteration 18: energy = 6494.692387 = 6494.692387, xb = 6494.702823, voltage energy = 6494.714679, gap = 0.0014190004221746
iteration 19: energy = 6494.691995 = 6494.691995, xb = 6494.693057, voltage energy = 6494.694870, gap = 0.0007506269585065
iteration 20: energy = 6494.691751 = 6494.691751, xb = 6494.690618, voltage energy = 6494.689867, gap = 0.0003809082463704
iteration 21: energy = 6494.691628 = 6494.691628, xb = 6494.693441, voltage energy = 6494.695478, gap = 0.0002242139671580
linesolver
iteration 1: energy = 7072.286866 = 7072.286866, xb = 6535.629065, voltage energy = 6790.221612, gap = 791.2503473933884379
iteration 2: energy = 6753.730417 = 6753.730417, xb = 6519.768715, voltage energy = 6650.440898, gap = 364.6338842630921135
iteration 3: energy = 6620.946488 = 6620.946488, xb = 6504.698286, voltage energy = 6547.432679, gap = 158.9825944192298266
iteration 4: energy = 6553.996374 = 6553.996374, xb = 6501.072753, voltage energy = 6540.808851, gap = 92.6597197381915976
iteration 5: energy = 6519.238796 = 6519.238796, xb = 6497.991433, voltage energy = 6507.401976, gap = 30.6579062111186431
iteration 6: energy = 6509.524717 = 6509.524717, xb = 6497.120819, voltage energy = 6502.681455, gap = 17.9645337709653177
iteration 7: energy = 6505.112784 = 6505.112784, xb = 6496.425576, voltage energy = 6500.213813, gap = 12.4754450991185877
iteration 8: energy = 6498.047159 = 6498.047159, xb = 6498.765551, voltage energy = 6551.696292, gap = 52.2123492154214546
iteration 9: energy = 6496.839370 = 6496.839370, xb = 6495.262530, voltage energy = 6496.253935, gap = 2.5682439399652139
iteration 10: energy = 6495.658926 = 6495.658926, xb = 6494.885226, voltage energy = 6495.451173, gap = 1.3396479123639438
iteration 11: energy = 6494.979652 = 6494.979652, xb = 6494.804253, voltage energy = 6494.988969, gap = 0.3601163721932608
iteration 12: energy = 6494.800432 = 6494.800432, xb = 6494.735154, voltage energy = 6494.827215, gap = 0.1573388172773775
iteration 13: energy = 6494.738124 = 6494.738124, xb = 6494.754295, voltage energy = 6494.830523, gap = 0.0600570215983680
iteration 14: energy = 6494.709254 = 6494.709254, xb = 6494.705338, voltage energy = 6494.741300, gap = 0.0398777733880706
iteration 15: energy = 6494.700129 = 6494.700129, xb = 6494.718318, voltage energy = 6494.749300, gap = 0.0127933372086773
iteration 16: energy = 6494.695529 = 6494.695529, xb = 6494.675699, voltage energy = 6494.665234, gap = 0.0093660474040007
iteration 17: energy = 6494.693357 = 6494.693357, xb = 6494.719634, voltage energy = 6494.749030, gap = 0.0031180575024337
iteration 18: energy = 6494.692387 = 6494.692387, xb = 6494.702823, voltage energy = 6494.714679, gap = 0.0014190004221746
iteration 19: energy = 6494.691995 = 6494.691995, xb = 6494.693057, voltage energy = 6494.694870, gap = 0.0007506269585065
iteration 20: energy = 6494.691751 = 6494.691751, xb = 6494.690618, voltage energy = 6494.689867, gap = 0.0003809082463704
iteration 21: energy = 6494.691628 = 6494.691628, xb = 6494.693441, voltage energy = 6494.695478, gap = 0.0002242139671580
linesolver
iteration 1: energy = 7072.286866 = 7072.286866, xb = 6535.629065, voltage energy = 6790.221612, gap = 791.2503473933884379
iteration 2: energy = 6753.730417 = 6753.730417, xb = 6519.768715, voltage energy = 6650.440898, gap = 364.6338842630921135
iteration 3: energy = 6620.946488 = 6620.946488, xb = 6504.698286, voltage energy = 6547.432679, gap = 158.9825944192298266
iteration 4: energy = 6553.996374 = 6553.996374, xb = 6501.072753, voltage energy = 6540.808851, gap = 92.6597197381915976
iteration 5: energy = 6519.238796 = 6519.238796, xb = 6497.991433, voltage energy = 6507.401976, gap = 30.6579062111186431
iteration 6: energy = 6509.524717 = 6509.524717, xb = 6497.120819, voltage energy = 6502.681455, gap = 17.9645337709653177
iteration 7: energy = 6505.112784 = 6505.112784, xb = 6496.425576, voltage energy = 6500.213813, gap = 12.4754450991185877
iteration 8: energy = 6498.047159 = 6498.047159, xb = 6498.765551, voltage energy = 6551.696292, gap = 52.2123492154214546
iteration 9: energy = 6496.839370 = 6496.839370, xb = 6495.262530, voltage energy = 6496.253935, gap = 2.5682439399652139
