linesolver
iteration 1: energy = 1563638.639038 = 1563638.639038, xb = 945486.240236, voltage energy = 1731496.228684, gap = 1404162.3872499871067703
iteration 2: energy = 1384540.366481 = 1384540.366480, xb = 917585.906566, voltage energy = 1058623.302567, gap = 607991.8559153534006327
iteration 3: energy = 1290312.942263 = 1290312.942263, xb = 913118.766442, voltage energy = 986119.875183, gap = 450195.2845609169453382
iteration 4: energy = 1065717.047488 = 1065717.047488, xb = 912883.732803, voltage energy = 975893.877804, gap = 215843.4596862392500043
iteration 5: energy = 1023671.178471 = 1023671.178471, xb = 899180.426370, voltage energy = 1003040.730313, gap = 228351.0560439330292866
iteration 6: energy = 964878.571448 = 964878.571447, xb = 905030.714044, voltage energy = 925278.031188, gap = 80095.1745466627180576
iteration 7: energy = 950548.157484 = 950548.157484, xb = 904041.709976, voltage energy = 918902.562433, gap = 61367.2999648581026122
iteration 8: energy = 931693.294990 = 931693.294989, xb = 898807.481849, voltage energy = 931483.072678, gap = 65561.4039678097469732
iteration 9: energy = 923588.584713 = 923588.584713, xb = 902800.095617, voltage energy = 911549.227322, gap = 29537.6208000449696556
iteration 10: energy = 920277.617668 = 920277.617668, xb = 902190.178905, voltage energy = 906247.172379, gap = 22144.4322378460783511
iteration 11: energy = 907632.205120 = 907632.205120, xb = 901020.846988, voltage energy = 903828.630748, gap = 9419.1418915615649894
iteration 12: energy = 906431.816999 = 906431.816999, xb = 901547.706434, voltage energy = 903527.249854, gap = 6863.6539834312861785
iteration 13: energy = 905761.340245 = 905761.340245, xb = 901316.632220, voltage energy = 903020.186238, gap = 6148.2620427147485316
iteration 14: energy = 905301.186286 = 905301.186286, xb = 901309.093417, voltage energy = 902514.667335, gap = 5197.6667864524060860
iteration 15: energy = 902564.235287 = 902564.235287, xb = 901021.388167, voltage energy = 902131.840364, gap = 2653.2993156994925812
iteration 16: energy = 901467.647997 = 901467.647997, xb = 903812.028048, voltage energy = 917983.248149, gap = 11826.8400495378300548
iteration 17: energy = 901228.906556 = 901228.906556, xb = 900680.966509, voltage energy = 900906.204154, gap = 773.1776912451023236
iteration 18: energy = 901080.727751 = 901080.727751, xb = 900940.420163, voltage energy = 901367.116033, gap = 567.0034585010726005
iteration 19: energy = 900974.580437 = 900974.580437, xb = 900297.829970, voltage energy = 900223.323949, gap = 602.2444454826181754
iteration 20: energy = 900732.530516 = 900732.530516, xb = 900642.635954, voltage energy = 900717.903320, gap = 165.1619273027172312
iteration 21: energy = 900692.635967 = 900692.635967, xb = 900673.992970, voltage energy = 900751.056141, gap = 95.7061673192074522
iteration 22: energy = 900669.466894 = 900669.466893, xb = 900641.364393, voltage energy = 900686.640600, gap = 73.3787070924881846
iteration 23: energy = 900658.416597 = 900658.416597, xb = 900646.451634, voltage energy = 900696.780642, gap = 62.2939695658860728
iteration 24: energy = 900647.304416 = 900647.304416, xb = 900655.488717, voltage energy = 900698.779560, gap = 35.1065406281268224
iteration 25: energy = 900641.360078 = 900641.360078, xb = 900508.129526, voltage energy = 900442.355865, gap = 67.4568919258890674
iteration 26: energy = 900638.615176 = 900638.615175, xb = 900643.365817, voltage energy = 900671.693626, gap = 23.5771673503331840
iteration 27: energy = 900636.132188 = 900636.132188, xb = 900637.190554, voltage energy = 900658.730819, gap = 20.4818992061773315
iteration 28: energy = 900626.152101 = 900626.152100, xb = 900620.098764, voltage energy = 900623.356110, gap = 9.3106828443706036
iteration 29: energy = 900623.634019 = 900623.634018, xb = 900629.428581, voltage energy = 900641.219449, gap = 5.9963052144739777
iteration 30: energy = 900622.757338 = 900622.757337, xb = 900625.796130, voltage energy = 900633.865589, gap = 5.0306664024246857
iteration 31: energy = 900620.166140 = 900620.166139, xb = 900617.640393, voltage energy = 900617.290918, gap = 2.1762702645501122
iteration 32: energy = 900619.318961 = 900619.318960, xb = 900624.900503, voltage energy = 900631.968154, gap = 1.4861077459063381
iteration 33: energy = 900618.831133 = 900618.831132, xb = 900588.729544, voltage energy = 900561.128631, gap = 2.5006756652146578
iteration 34: energy = 900618.659947 = 900618.659946, xb = 900613.151184, voltage energy = 900608.127803, gap = 0.4853809936903417
