linesolver
iteration 1: energy = 960.736433 = 960.736433, xb = 801.056496, voltage energy = 809.220005, gap = 167.8434451580130826
iteration 2: energy = 926.183452 = 926.183452, xb = 800.782613, voltage energy = 805.127620, gap = 129.7458466102494867
iteration 3: energy = 835.241816 = 835.241816, xb = 800.681678, voltage energy = 802.528653, gap = 36.4071121211793525
iteration 4: energy = 814.203694 = 814.203694, xb = 800.676323, voltage energy = 801.986576, gap = 14.8376254024026366
iteration 5: energy = 804.727273 = 804.727273, xb = 800.672756, voltage energy = 802.085474, gap = 5.4672349767645301
iteration 6: energy = 803.122512 = 803.122512, xb = 800.664441, voltage energy = 801.224367, gap = 3.0179966254708006
iteration 7: energy = 801.539550 = 801.539550, xb = 800.577579, voltage energy = 800.748360, gap = 1.1327518603138742
iteration 8: energy = 800.887363 = 800.887363, xb = 800.597240, voltage energy = 800.655849, gap = 0.3487315034575431
iteration 9: energy = 800.753906 = 800.753906, xb = 800.581304, voltage energy = 800.609512, gap = 0.2008111471881193
iteration 10: energy = 800.696060 = 800.696060, xb = 800.581342, voltage energy = 800.589256, gap = 0.1226324305364415
iteration 11: energy = 800.647640 = 800.647640, xb = 800.582675, voltage energy = 800.589492, gap = 0.0717826246494724
iteration 12: energy = 800.637791 = 800.637791, xb = 800.579665, voltage energy = 800.580613, gap = 0.0590733722174264
iteration 13: energy = 800.590182 = 800.590182, xb = 800.581595, voltage energy = 800.584182, gap = 0.0111734221858342
iteration 14: energy = 800.585254 = 800.585254, xb = 800.572797, voltage energy = 800.567472, gap = 0.0071325317283026
iteration 15: energy = 800.582437 = 800.582437, xb = 800.580141, voltage energy = 800.580804, gap = 0.0029574413628097
iteration 16: energy = 800.581263 = 800.581263, xb = 800.581035, voltage energy = 800.582100, gap = 0.0012922971451417
iteration 17: energy = 800.580535 = 800.580535, xb = 800.580458, voltage energy = 800.581031, gap = 0.0006495846349708
linesolver
iteration 1: energy = 960.736433 = 960.736433, xb = 801.056496, voltage energy = 809.220005, gap = 167.8434451580130826
iteration 2: energy = 926.183452 = 926.183452, xb = 800.782613, voltage energy = 805.127620, gap = 129.7458466102494867
iteration 3: energy = 835.241816 = 835.241816, xb = 800.681678, voltage energy = 802.528653, gap = 36.4071121211793525
iteration 4: energy = 814.203694 = 814.203694, xb = 800.676323, voltage energy = 801.986576, gap = 14.8376254024026366
iteration 5: energy = 804.727273 = 804.727273, xb = 800.672756, voltage energy = 802.085474, gap = 5.4672349767645301
iteration 6: energy = 803.122512 = 803.122512, xb = 800.664441, voltage energy = 801.224367, gap = 3.0179966254708006
iteration 7: energy = 801.539550 = 801.539550, xb = 800.577579, voltage energy = 800.748360, gap = 1.1327518603138742
iteration 8: energy = 800.887363 = 800.887363, xb = 800.597240, voltage energy = 800.655849, gap = 0.3487315034575431
iteration 9: energy = 800.753906 = 800.753906, xb = 800.581304, voltage energy = 800.609512, gap = 0.2008111471881193
iteration 10: energy = 800.696060 = 800.696060, xb = 800.581342, voltage energy = 800.589256, gap = 0.1226324305364415
iteration 11: energy = 800.647640 = 800.647640, xb = 800.582675, voltage energy = 800.589492, gap = 0.0717826246494724
iteration 12: energy = 800.637791 = 800.637791, xb = 800.579665, voltage energy = 800.580613, gap = 0.0590733722174264
iteration 13: energy = 800.590182 = 800.590182, xb = 800.581595, voltage energy = 800.584182, gap = 0.0111734221858342
iteration 14: energy = 800.585254 = 800.585254, xb = 800.572797, voltage energy = 800.567472, gap = 0.0071325317283026
iteration 15: energy = 800.582437 = 800.582437, xb = 800.580141, voltage energy = 800.580804, gap = 0.0029574413628097
iteration 16: energy = 800.581263 = 800.581263, xb = 800.581035, voltage energy = 800.582100, gap = 0.0012922971451417
iteration 17: energy = 800.580535 = 800.580535, xb = 800.580458, voltage energy = 800.581031, gap = 0.0006495846349708
linesolver
iteration 1: energy = 960.736433 = 960.736433, xb = 801.056496, voltage energy = 809.220005, gap = 167.8434451580130826
iteration 2: energy = 926.183452 = 926.183452, xb = 800.782613, voltage energy = 805.127620, gap = 129.7458466102494867
iteration 3: energy = 835.241816 = 835.241816, xb = 800.681678, voltage energy = 802.528653, gap = 36.4071121211793525
iteration 4: energy = 814.203694 = 814.203694, xb = 800.676323, voltage energy = 801.986576, gap = 14.8376254024026366
iteration 5: energy = 804.727273 = 804.727273, xb = 800.672756, voltage energy = 802.085474, gap = 5.4672349767645301
iteration 6: energy = 803.122512 = 803.122512, xb = 800.664441, voltage energy = 801.224367, gap = 3.0179966254708006
iteration 7: energy = 801.539550 = 801.539550, xb = 800.577579, voltage energy = 800.748360, gap = 1.1327518603138742
iteration 8: energy = 800.887363 = 800.887363, xb = 800.597240, voltage energy = 800.655849, gap = 0.3487315034575431
iteration 9: energy = 800.753906 = 800.753906, xb = 800.581304, voltage energy = 800.609512, gap = 0.2008111471881193
iteration 10: energy = 800.696060 = 800.696060, xb = 800.581342, voltage energy = 800.589256, gap = 0.1226324305364415
iteration 11: energy = 800.647640 = 800.647640, xb = 800.582675, voltage energy = 800.589492, gap = 0.0717826246494724
iteration 12: energy = 800.637791 = 800.637791, xb = 800.579665, voltage energy = 800.580613, gap = 0.0590733722174264
iteration 13: energy = 800.590182 = 800.590182, xb = 800.581595, voltage energy = 800.584182, gap = 0.0111734221858342
iteration 14: energy = 800.585254 = 800.585254, xb = 800.572797, voltage energy = 800.567472, gap = 0.0071325317283026
iteration 15: energy = 800.582437 = 800.582437, xb = 800.580141, voltage energy = 800.580804, gap = 0.0029574413628097
iteration 16: energy = 800.581263 = 800.581263, xb = 800.581035, voltage energy = 800.582100, gap = 0.0012922971451417
iteration 17: energy = 800.580535 = 800.580535, xb = 800.580458, voltage energy = 800.581031, gap = 0.0006495846349708
linesolver
iteration 1: energy = 960.736433 = 960.736433, xb = 801.056496, voltage energy = 809.220005, gap = 167.8434451580130826
