linesolver
iteration 1: energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.9702612710534595
iteration 2: energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.2202658045280259
iteration 3: energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.8066660327021964
iteration 4: energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.2649535832169931
iteration 5: energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.0110224156524055
iteration 6: energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.0002188272192143
iteration 7: energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.0000059046724346
iteration 8: energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.0000002234010026
iteration 9: energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.0000000308791641
iteration 10: energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.0000000592262950
iteration 11: energy = 166666.718237 = 166666.718233, xb = 166666.718234, voltage energy = 166666.718235, gap = -0.0000002465676516
linesolver
iteration 1: energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.9702612710534595
iteration 2: energy = 166857.360564 = 166857.360564, xb = 166673.690916, voltage energy = 166811.241534, gap = 321.2202658045280259
iteration 3: energy = 166673.765336 = 166673.765336, xb = 166665.984426, voltage energy = 166670.010182, gap = 11.8066660327021964
iteration 4: energy = 166666.878548 = 166666.878548, xb = 166666.777923, voltage energy = 166666.942252, gap = 0.2649535832169931
iteration 5: energy = 166666.724851 = 166666.724849, xb = 166666.675183, voltage energy = 166666.636540, gap = 0.0110224156524055
iteration 6: energy = 166666.718373 = 166666.718370, xb = 166666.724878, voltage energy = 166666.731604, gap = 0.0002188272192143
iteration 7: energy = 166666.718240 = 166666.718237, xb = 166666.720110, voltage energy = 166666.721989, gap = 0.0000059046724346
iteration 8: energy = 166666.718237 = 166666.718234, xb = 166666.718572, voltage energy = 166666.718911, gap = 0.0000002234010026
iteration 9: energy = 166666.718237 = 166666.718234, xb = 166666.718170, voltage energy = 166666.718107, gap = 0.0000000308791641
iteration 10: energy = 166666.718237 = 166666.718233, xb = 166666.718227, voltage energy = 166666.718220, gap = 0.0000000592262950
iteration 11: energy = 166666.718237 = 166666.718233, xb = 166666.718234, voltage energy = 166666.718235, gap = -0.0000002465676516
linesolver
iteration 1: energy = 172270.402393 = 172270.402393, xb = 167445.145021, voltage energy = 172358.857911, gap = 9738.9702612710534595
