linesolver
iteration 1: energy = 106463090.543666 = 106463090.543673, xb = 982082.008375, voltage energy = 29864963.088224, gap = 134363889.6151470839977264
iteration 2: energy = 59190944.823241 = 59190944.823247, xb = 847315.475129, voltage energy = 9646926.432070, gap = 67143240.3050593882799149
iteration 3: energy = 32002586.899880 = 32002586.899886, xb = 1037053.165820, voltage energy = 11520165.410974, gap = 41448645.9792202040553093
iteration 4: energy = 18271498.430785 = 18271498.430795, xb = 886940.456178, voltage energy = 5983270.973106, gap = 22480888.4915440641343594
iteration 5: energy = 9955379.601585 = 9955379.601594, xb = 1004361.852381, voltage energy = 2882317.826589, gap = 10828973.7234215456992388
iteration 6: energy = 5845058.377858 = 5845058.377868, xb = 975718.474866, voltage energy = 1821984.990925, gap = 5715606.4190600225701928
iteration 7: energy = 3631541.973539 = 3631541.973547, xb = 987208.532711, voltage energy = 2208882.244766, gap = 3866007.1528919199481606
iteration 8: energy = 2544825.530948 = 2544825.530957, xb = 942799.867768, voltage energy = 1120904.112637, gap = 1780129.9080582193564624
iteration 9: energy = 1805090.858746 = 1805090.858754, xb = 970491.755044, voltage energy = 1054232.381515, gap = 918339.7301809629425406
iteration 10: energy = 1252218.029705 = 1252218.029714, xb = 970649.216378, voltage energy = 1036918.047081, gap = 347837.6440384018933401
iteration 11: energy = 1106751.235695 = 1106751.235703, xb = 975989.223516, voltage energy = 1047946.057724, gap = 202718.8463952072197571
iteration 12: energy = 1041850.475774 = 1041850.475782, xb = 963788.408272, voltage energy = 969490.139822, gap = 83763.7990607063984498
iteration 13: energy = 1016597.495288 = 1016597.495296, xb = 969663.612528, voltage energy = 978894.423261, gap = 56164.6935008299769834
iteration 14: energy = 988383.015525 = 988383.015534, xb = 963264.629949, voltage energy = 967032.758670, gap = 28886.5143047956516966
iteration 15: energy = 980002.409070 = 980002.409078, xb = 969174.950675, voltage energy = 971442.741506, gap = 13095.2492344171041623
iteration 16: energy = 976013.516901 = 976013.516909, xb = 968416.780549, voltage energy = 969034.942532, gap = 8214.8983431038213894
iteration 17: energy = 972712.552245 = 972712.552253, xb = 968276.812409, voltage energy = 967996.990054, gap = 4155.9174888525158167
iteration 18: energy = 971424.353933 = 971424.353941, xb = 968579.590270, voltage energy = 968489.645660, gap = 2754.8190607753349468
iteration 19: energy = 969999.680841 = 969999.680849, xb = 968554.652689, voltage energy = 968143.211012, gap = 1033.5864819263806567
iteration 20: energy = 969597.586219 = 969597.586227, xb = 969279.530620, voltage energy = 969482.560212, gap = 521.0851981058949605
iteration 21: energy = 969345.887512 = 969345.887520, xb = 969386.143839, voltage energy = 969751.003377, gap = 324.6032195473089814
iteration 22: energy = 969281.273479 = 969281.273487, xb = 969155.420049, voltage energy = 969170.512662, gap = 140.9460513920057565
iteration 23: energy = 969211.606530 = 969211.606537, xb = 969150.652894, voltage energy = 969163.971844, gap = 74.2725927046267316
